workerid,proliferate.condition,internal_node_id,response,response_0,response_1,response_2,response_3,rt,slider_0,slider_1,slider_2,slider_3,slider_start,stimulus,success,time_elapsed,trial_index,trial_type,error,time_value
12,Condition 1,0.0-15.0,,20,60,10,10,11625,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,230407,15,html-multi-slider-response,,5
12,Condition 1,0.0-16.0,,20,60,10,10,17472,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,248133,16,html-multi-slider-response,,15
12,Condition 1,0.0-17.0,,20,60,10,10,16980,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,265365,17,html-multi-slider-response,,15
12,Condition 1,0.0-18.0,,20,60,10,10,9207,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,274825,18,html-multi-slider-response,,10
12,Condition 1,0.0-19.0,,20,60,10,10,27136,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,302213,19,html-multi-slider-response,,10
12,Condition 1,0.0-20.0,,26,55,10,9,11721,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,314186,20,html-multi-slider-response,,30
12,Condition 1,0.0-21.0,,19,11,53,17,4390,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,318827,21,html-multi-slider-response,,120
12,Condition 1,0.0-22.0,,26,52,22,0,6663,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,325740,22,html-multi-slider-response,,90
32,Condition 1,0.0-5.0,,25,50,15,10,26588,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,54461,5,html-multi-slider-response,,60
32,Condition 1,0.0-6.0,,20,60,5,15,20135,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,74853,6,html-multi-slider-response,,30
32,Condition 1,0.0-7.0,,35,30,5,30,13757,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,88861,7,html-multi-slider-response,,45
32,Condition 1,0.0-8.0,,30,40,5,25,13768,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,102885,8,html-multi-slider-response,,60
32,Condition 1,0.0-9.0,,16,12,30,42,36548,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,139685,9,html-multi-slider-response,,120
32,Condition 1,0.0-10.0,,0,50,0,50,29958,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,169910,10,html-multi-slider-response,,5
32,Condition 1,0.0-11.0,,10,40,0,50,12079,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,182245,11,html-multi-slider-response,,10
32,Condition 1,0.0-12.0,,20,30,5,45,10580,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,193077,12,html-multi-slider-response,,15
32,Condition 1,0.0-13.0,,40,20,10,30,45247,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,238582,13,html-multi-slider-response,,90
32,Condition 1,0.0-14.0,,35,10,25,30,32738,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,271574,14,html-multi-slider-response,,75
32,Condition 1,0.0-15.0,,20,35,0,45,11353,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,283190,15,html-multi-slider-response,,10
32,Condition 1,0.0-16.0,,0,50,0,50,14653,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,298094,16,html-multi-slider-response,,5
32,Condition 1,0.0-17.0,,25,25,10,40,41976,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,340333,17,html-multi-slider-response,,75
32,Condition 1,0.0-18.0,,20,40,0,40,14676,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,355261,18,html-multi-slider-response,,15
32,Condition 1,0.0-19.0,,35,16,19,30,16605,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,372118,19,html-multi-slider-response,,120
32,Condition 1,0.0-20.0,,30,20,5,45,15411,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,387782,20,html-multi-slider-response,,45
32,Condition 1,0.0-21.0,,30,16,29,25,13443,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,401477,21,html-multi-slider-response,,90
32,Condition 1,0.0-22.0,,20,40,1,39,11805,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,413534,22,html-multi-slider-response,,30
11,Condition 1,0.0-5.0,,55,45,0,0,26338,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,102897,5,html-multi-slider-response,,15
11,Condition 1,0.0-6.0,,43,57,0,0,22323,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,125485,6,html-multi-slider-response,,60
11,Condition 1,0.0-7.0,,50,50,0,0,19616,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,145365,7,html-multi-slider-response,,90
11,Condition 1,0.0-8.0,,50,50,0,0,16292,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,161925,8,html-multi-slider-response,,120
11,Condition 1,0.0-9.0,,50,50,0,0,16588,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,178766,9,html-multi-slider-response,,10
11,Condition 1,0.0-10.0,,48,52,0,0,14101,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,193132,10,html-multi-slider-response,,75
11,Condition 1,0.0-11.0,,48,52,0,0,11987,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,205383,11,html-multi-slider-response,,90
11,Condition 1,0.0-12.0,,37,48,0,15,15539,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,221189,12,html-multi-slider-response,,30
11,Condition 1,0.0-13.0,,48,52,0,0,7824,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,229278,13,html-multi-slider-response,,120
11,Condition 1,0.0-14.0,,49,51,0,0,4772,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,234307,14,html-multi-slider-response,,15
11,Condition 1,0.0-15.0,,49,51,0,0,7439,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,241997,15,html-multi-slider-response,,75
11,Condition 1,0.0-16.0,,44,56,0,0,5710,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,247963,16,html-multi-slider-response,,10
11,Condition 1,0.0-17.0,,48,52,0,0,5700,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,253926,17,html-multi-slider-response,,45
11,Condition 1,0.0-18.0,,48,52,0,0,5299,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,259483,18,html-multi-slider-response,,5
11,Condition 1,0.0-19.0,,45,55,0,0,5853,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,265604,19,html-multi-slider-response,,60
11,Condition 1,0.0-20.0,,42,58,0,0,4665,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,270531,20,html-multi-slider-response,,45
11,Condition 1,0.0-21.0,,48,52,0,0,5080,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,275874,21,html-multi-slider-response,,5
11,Condition 1,0.0-22.0,,45,55,0,0,7197,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,283333,22,html-multi-slider-response,,30
49,Condition 1,0.0-5.0,,60,20,20,0,20934,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,38021,5,html-multi-slider-response,,60
49,Condition 1,0.0-6.0,,50,30,20,0,19481,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,57758,6,html-multi-slider-response,,45
49,Condition 1,0.0-7.0,,30,15,55,0,14316,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,72340,7,html-multi-slider-response,,75
49,Condition 1,0.0-8.0,,20,60,20,0,11523,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,84114,8,html-multi-slider-response,,30
49,Condition 1,0.0-9.0,,0,60,0,40,8629,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,93007,9,html-multi-slider-response,,10
49,Condition 1,0.0-10.0,,60,35,0,5,11622,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_45.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,104890,10,html-multi-slider-response,,45
49,Condition 1,0.0-11.0,,30,20,50,0,16337,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,121491,11,html-multi-slider-response,,90
49,Condition 1,0.0-12.0,,50,20,30,0,20021,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,141767,12,html-multi-slider-response,,60
49,Condition 1,0.0-13.0,,0,70,0,30,7127,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_10.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,149152,13,html-multi-slider-response,,10
49,Condition 1,0.0-14.0,,30,15,50,5,18370,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_90.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,167778,14,html-multi-slider-response,,90
49,Condition 1,0.0-15.0,,10,50,10,30,28339,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,196383,15,html-multi-slider-response,,15
49,Condition 1,0.0-16.0,,0,60,0,40,10257,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,206891,16,html-multi-slider-response,,5
49,Condition 1,0.0-17.0,,40,40,10,10,24685,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,231845,17,html-multi-slider-response,,30
49,Condition 1,0.0-18.0,,40,0,60,0,9580,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,241678,18,html-multi-slider-response,,120
49,Condition 1,0.0-19.0,,0,60,0,40,7038,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,248976,19,html-multi-slider-response,,15
49,Condition 1,0.0-20.0,,0,80,0,20,9715,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_5.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,258944,20,html-multi-slider-response,,5
49,Condition 1,0.0-21.0,,40,0,60,0,6708,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_120.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,265912,21,html-multi-slider-response,,120
49,Condition 1,0.0-22.0,,40,0,60,0,7478,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,273655,22,html-multi-slider-response,,75
52,Condition 1,0.0-5.0,,16,15,13,56,65780,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_60.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,118784,5,html-multi-slider-response,,60
52,Condition 1,0.0-6.0,,17,15,17,51,21838,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_15.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,140878,6,html-multi-slider-response,,15
52,Condition 1,0.0-7.0,,13,14,13,60,23695,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,164832,7,html-multi-slider-response,,30
52,Condition 1,0.0-8.0,,11,9,12,68,14744,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_30.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,179829,8,html-multi-slider-response,,30
52,Condition 1,0.0-9.0,,13,13,13,61,21314,I'm gonna lie down for a while,I'm gonna lie down for a bit,I'm gonna lie down for some time,something else,0,"<p><img src=""../proexpec/t/t_b_75.jpg"" class=""scaled-img"" /></p><p>How likely do you think it is that someone would use these sentences? <br> Make sure that your responses sum up to one hundred percent.</p>",,201399,9,html-multi-slider-response,,75
